# energy p
-2.124929999999999808e+01 0.000000000000000000e+00
-2.124329999999999785e+01 0.000000000000000000e+00
-2.123729999999999762e+01 0.000000000000000000e+00
-2.123120000000000118e+01 0.000000000000000000e+00
-2.122520000000000095e+01 0.000000000000000000e+00
-2.121920000000000073e+01 0.000000000000000000e+00
-2.121320000000000050e+01 0.000000000000000000e+00
-2.120710000000000406e+01 0.000000000000000000e+00
-2.120110000000000383e+01 0.000000000000000000e+00
-2.119510000000000360e+01 0.000000000000000000e+00
-2.118910000000000338e+01 0.000000000000000000e+00
-2.118299999999999983e+01 0.000000000000000000e+00
-2.117699999999999960e+01 0.000000000000000000e+00
-2.117099999999999937e+01 0.000000000000000000e+00
-2.116499999999999915e+01 0.000000000000000000e+00
-2.115890000000000271e+01 0.000000000000000000e+00
-2.115290000000000248e+01 0.000000000000000000e+00
-2.114690000000000225e+01 0.000000000000000000e+00
-2.114090000000000202e+01 0.000000000000000000e+00
-2.113490000000000180e+01 0.000000000000000000e+00
-2.112879999999999825e+01 0.000000000000000000e+00
-2.112279999999999802e+01 0.000000000000000000e+00
-2.111679999999999779e+01 0.000000000000000000e+00
-2.111079999999999757e+01 0.000000000000000000e+00
-2.110470000000000113e+01 0.000000000000000000e+00
-2.109870000000000090e+01 0.000000000000000000e+00
-2.109270000000000067e+01 0.000000000000000000e+00
-2.108670000000000044e+01 0.000000000000000000e+00
-2.108060000000000400e+01 0.000000000000000000e+00
-2.107460000000000377e+01 0.000000000000000000e+00
-2.106860000000000355e+01 0.000000000000000000e+00
-2.106260000000000332e+01 0.000000000000000000e+00
-2.105660000000000309e+01 0.000000000000000000e+00
-2.105049999999999955e+01 0.000000000000000000e+00
-2.104449999999999932e+01 0.000000000000000000e+00
-2.103849999999999909e+01 0.000000000000000000e+00
-2.103249999999999886e+01 0.000000000000000000e+00
-2.102640000000000242e+01 0.000000000000000000e+00
-2.102040000000000219e+01 0.000000000000000000e+00
-2.101440000000000197e+01 0.000000000000000000e+00
-2.100840000000000174e+01 0.000000000000000000e+00
-2.100229999999999819e+01 0.000000000000000000e+00
-2.099629999999999797e+01 0.000000000000000000e+00
-2.099029999999999774e+01 0.000000000000000000e+00
-2.098429999999999751e+01 0.000000000000000000e+00
-2.097820000000000107e+01 0.000000000000000000e+00
-2.097220000000000084e+01 0.000000000000000000e+00
-2.096620000000000061e+01 0.000000000000000000e+00
-2.096020000000000039e+01 0.000000000000000000e+00
-2.095420000000000016e+01 0.000000000000000000e+00
-2.094810000000000372e+01 0.000000000000000000e+00
-2.094210000000000349e+01 0.000000000000000000e+00
-2.093610000000000326e+01 0.000000000000000000e+00
-2.093010000000000304e+01 0.000000000000000000e+00
-2.092399999999999949e+01 0.000000000000000000e+00
-2.091799999999999926e+01 0.000000000000000000e+00
-2.091199999999999903e+01 0.000000000000000000e+00
-2.090599999999999881e+01 0.000000000000000000e+00
-2.089990000000000236e+01 0.000000000000000000e+00
-2.089390000000000214e+01 0.000000000000000000e+00
-2.088790000000000191e+01 0.000000000000000000e+00
-2.088190000000000168e+01 0.000000000000000000e+00
-2.087590000000000146e+01 0.000000000000000000e+00
-2.086979999999999791e+01 0.000000000000000000e+00
-2.086379999999999768e+01 0.000000000000000000e+00
-2.085779999999999745e+01 0.000000000000000000e+00
-2.085179999999999723e+01 0.000000000000000000e+00
-2.084570000000000078e+01 0.000000000000000000e+00
-2.083970000000000056e+01 0.000000000000000000e+00
-2.083370000000000033e+01 0.000000000000000000e+00
-2.082770000000000010e+01 0.000000000000000000e+00
